plantă vegetală
contact relație
legătură contact
legătură relație
relație contact
relație legătură
legătură relație
relație legătură
angajat salariat
angajat slujbaș
salariat angajat
salariat slujbaș
slujbaș angajat
slujbaș salariat
taică tată
tată taică
posesor proprietar
posesor stăpân
proprietar posesor
proprietar stăpân
stăpân posesor
stăpân proprietar
maică mamă
mamă maică
parte participație
participație parte
bir contribuție
bir dare
bir impozit
contribuție bir
contribuție dare
contribuție impozit
dare bir
dare contribuție
dare impozit
impozit bir
impozit contribuție
impozit dare
ban valută
valută ban
față latură
față parte
latură față
latură parte
parte față
parte latură
casă familie
familie casă
legumă zarzavat
zarzavat legumă
departament secție
secție departament
clasă grupă
grupă clasă
asociație colectivitate
asociație tabără
colectivitate asociație
colectivitate tabără
tabără asociație
tabără colectivitate
învățământ școală
școală învățământ
talaz undă
talaz val
undă talaz
undă val
val talaz
val undă
țară patrie
țară stat
patrie țară
patrie stat
stat țară
stat patrie
regiune zonă
zonă regiune
ansamblu companie
ansamblu trupă
companie ansamblu
companie trupă
trupă ansamblu
trupă companie
întreprindere afacere
întreprindere firmă
afacere întreprindere
afacere firmă
firmă întreprindere
firmă afacere
parte regiune
regiune parte
dorință poftă
poftă dorință
frontieră graniță
frontieră hotar
frontieră limită
frontieră margine
graniță frontieră
graniță hotar
graniță limită
graniță margine
hotar frontieră
hotar graniță
hotar limită
hotar margine
limită frontieră
limită graniță
limită hotar
limită margine
margine frontieră
margine graniță
margine hotar
margine limită
goliciune nuditate
nuditate goliciune
conștientizare relizare
relizare conștientizare
blanc spațiu
spațiu blanc
îmbăta bea
bea îmbăta
bocanc cizmă
bocanc gheată
cizmă bocanc
cizmă gheată
gheată bocanc
gheată cizmă
faianță porțelan
porțelan faianță
înșelăciune înșelătorie
înșelătorie înșelăciune
pericol primejdie
pericol risc
primejdie pericol
primejdie risc
risc pericol
risc primejdie
bălăbănire clătinare
bălăbănire clătinat
bălăbănire legănare
bălăbănire mătăhăire
clătinare bălăbănire
clătinare clătinat
clătinare legănare
clătinare mătăhăire
clătinat bălăbănire
clătinat clătinare
clătinat legănare
clătinat mătăhăire
legănare bălăbănire
legănare clătinare
legănare clătinat
legănare mătăhăire
mătăhăire bălăbănire
mătăhăire clătinare
mătăhăire clătinat
mătăhăire legănare
muta schimbare
muta strămutare
schimbare muta
schimbare strămutare
strămutare muta
strămutare schimbare
alimentare consumare
alimentare hrănire
alimentare ingerare
alimentare nutriție
consumare alimentare
consumare hrănire
consumare ingerare
consumare nutriție
hrănire alimentare
hrănire consumare
hrănire ingerare
hrănire nutriție
ingerare alimentare
ingerare consumare
ingerare hrănire
ingerare nutriție
nutriție alimentare
nutriție consumare
nutriție hrănire
nutriție ingerare
chinuire maltratare
chinuire torturare
maltratare chinuire
maltratare torturare
torturare chinuire
torturare maltratare
înclinare aplecare
aplecare înclinare
escapism evadare
evadare escapism
irosire risipă
risipă irosire
refuzare respingere
respingere refuzare
lezare rănire
lezare vătămare
rănire lezare
rănire vătămare
vătămare lezare
vătămare rănire
întoarce răsucire
întoarce rotire
răsucire întoarce
răsucire rotire
rotire întoarce
rotire răsucire
întruchipare personifica
personifica întruchipare
aventură escapadă
escapadă aventură
patimă viciu
viciu patimă
imitare maimuțăreală
maimuțăreală imitare
grădinărit horticultură
horticultură grădinărit
aburcare cățărare
cățărare aburcare
redactare scriere
scriere redactare
mânjire murdărire
murdărire mânjire
hârjoană hârjoneală
hârjoană joacă
hârjoană zbenguială
hârjoneală hârjoană
hârjoneală joacă
hârjoneală zbenguială
joacă hârjoană
joacă hârjoneală
joacă zbenguială
zbenguială hârjoană
zbenguială hârjoneală
zbenguială joacă
construcție construire
construire construcție
furnizare livrare
furnizare predare
livrare furnizare
livrare predare
predare furnizare
predare livrare
rotație rotire
rotire rotație
șiroi curgere
șiroi flux
șiroi revărsare
curgere șiroi
curgere flux
curgere revărsare
flux șiroi
flux curgere
flux revărsare
revărsare șiroi
revărsare curgere
revărsare flux
cheltuială consum
consum cheltuială
difuzare difuziune
difuziune difuzare
bani finanțe
bani fonduri
finanțe bani
finanțe fonduri
fonduri bani
fonduri finanțe
raportare relaționare
relaționare raportare
bidimensional plan
plan bidimensional
cetățenie naționalitate
naționalitate cetățenie
evreu israelit
israelit evreu
întunecime noapte
noapte întunecime
grandoare măreție
grandoare maiestate
măreție grandoare
măreție maiestate
maiestate grandoare
maiestate măreție
imposibilitate neputință
neputință imposibilitate
depeșă telegramă
telegramă depeșă
încolonare aliniere
aliniere încolonare
est răsărit
răsărit est
lăstăriș mladă
mladă lăstăriș
glumeț spiritual
spiritual glumeț
control stăpânire
stăpânire control
ascundere ascuns
ascundere dosire
ascundere tăinuire
ascuns ascundere
ascuns dosire
ascuns tăinuire
dosire ascundere
dosire ascuns
dosire tăinuire
tăinuire ascundere
tăinuire ascuns
tăinuire dosire
calibraj calibrare
calibrare calibraj
mesă misă
misă mesă
calculație calculare
calculație socotire
calculare calculație
calculare socotire
socotire calculație
socotire calculare
cooperație cooperare
cooperare cooperație
fandare spagat
spagat fandare
cosmos lume
cosmos univers
lume cosmos
lume univers
univers cosmos
univers lume
conținut cuprins
cuprins conținut
focalizare focus
focus focalizare
fulg pană
pană fulg
cărbune tăciune
tăciune cărbune
foc incendiu
incendiu foc
promoție serie
serie promoție
nerecunoaștere tăgăduire
tăgăduire nerecunoaștere
dor dorință
dorință dor
dezvăluire revelare
revelare dezvăluire
certitudine siguranță
siguranță certitudine
bucă fesă
fesă bucă
transmisie transmisiune
transmisiune transmisie
transformare transmutare
transmutare transformare
fluctuație variație
variație fluctuație
legislativ parlament
parlament legislativ
încordare concentrare
concentrare încordare
osatură schelet
schelet osatură
emisferă semiglob
semiglob emisferă
demnitate mândrie
mândrie demnitate
istorie trecut
trecut istorie
amănunt detaliu
detaliu amănunt
planificare programare
programare planificare
gratitudine recunoștință
recunoștință gratitudine
arătare indicare
indicare arătare
materie subiect
subiect materie
atingere contact
contact atingere
circumstanță condiție
circumstanță considerație
circumstanță considerent
circumstanță factor
condiție circumstanță
condiție considerație
condiție considerent
condiție factor
considerație circumstanță
considerație condiție
considerație considerent
considerație factor
considerent circumstanță
considerent condiție
considerent considerație
considerent factor
factor circumstanță
factor condiție
factor considerație
factor considerent
aspect fațetă
fațetă aspect
alegere ales
alegere selectat
ales alegere
ales selectat
selectat alegere
selectat ales
securitate siguranță
siguranță securitate
pungă sacoșă
pungă săculeț
sacoșă pungă
sacoșă săculeț
săculeț pungă
săculeț sacoșă
impuls pulsație
pulsație impuls
țeapă barbă
barbă țeapă
covoraș preș
preș covoraș
peisagistică peisaj
peisaj peisagistică
notă notiță
notiță notă
coi testicul
testicul coi
cord inimă
inimă cord
azotat nitrat
nitrat azotat
enzimă ferment
ferment enzimă
ajungere sosire
ajungere venire
sosire ajungere
sosire venire
venire ajungere
venire sosire
expediere trimitere
trimitere expediere
expiere ispășire
expiere spășenie
ispășire expiere
ispășire spășenie
spășenie expiere
spășenie ispășire
reînnoire reabilitare
reabilitare reînnoire
succes triumf
triumf succes
mărgărită margaretă
margaretă mărgărită
cl clor
clor cl
bufnă bufniță
bufnă buhă
bufniță bufnă
bufniță buhă
buhă bufnă
buhă bufniță
încheietură articulație
articulație încheietură
schi schiuri
schiuri schi
ha hectar
hectar ha
cizmar pantofar
pantofar cizmar
farmacie potică
farmacie spițerie
potică farmacie
potică spițerie
spițerie farmacie
spițerie potică
întrebare chestiune
chestiune întrebare
kr kripton
kripton kr
teanc vraf
vraf teanc
scripcă vioară
scripcă violină
vioară scripcă
vioară violină
violină scripcă
violină vioară
culme vârf
vârf culme
chil kilo
chil kilogram
kilo chil
kilo kilogram
kilogram chil
kilogram kilo
replică reproducere
reproducere replică
capelă paraclis
paraclis capelă
c carbon
carbon c
rabie turbare
turbare rabie
ambulanță salvare
salvare ambulanță
apă h2o
h2o apă
cerc inel
inel cerc
cler preoție
preoție cler
față pagină
pagină față
topitorie turnătorie
turnătorie topitorie
h hidrogen
hidrogen h
intestin maț
maț intestin
argilă humă
humă argilă
aripă aripioară
aripioară aripă
cochetărie flirt
cochetărie tachinare
flirt cochetărie
flirt tachinare
tachinare cochetărie
tachinare flirt
locomotivă mașină
mașină locomotivă
geneză origine
origine geneză
amiciție prietenie
prietenie amiciție
foame sete
sete foame
cârpă scutec
scutec cârpă
cordialitate ospitalitate
ospitalitate cordialitate
mamelon nur
mamelon sfârc
nur mamelon
nur sfârc
sfârc mamelon
sfârc nur
explozibil exploziv
exploziv explozibil
împrejurime preajmă
împrejurime vecinătate
preajmă împrejurime
preajmă vecinătate
vecinătate împrejurime
vecinătate preajmă
fe fier
fier fe
acoperământ acoperiș
acoperiș acoperământ
ierbar rumen
rumen ierbar
exercițiu repetiție
repetiție exercițiu
arzător injector
injector arzător
nădrag pantalon
pantalon nădrag
țigară țigaretă
țigaretă țigară
gambetă melon
melon gambetă
ventricea ventrilică
ventrilică ventricea
cer firmament
firmament cer
abatere excepție
excepție abatere
coșciug raclă
coșciug sicriu
raclă coșciug
raclă sicriu
sicriu coșciug
sicriu raclă
cioc clonț
cioc plisc
clonț cioc
clonț plisc
plisc cioc
plisc clonț
galerie tunel
tunel galerie
șoarec șoarece
șoarec mouse
șoarece șoarec
șoarece mouse
mouse șoarec
mouse șoarece
clavir pian
clavir pianoforte
pian clavir
pian pianoforte
pianoforte clavir
pianoforte pian
banalitate clișeu
banalitate comun
banalitate platitudine
clișeu banalitate
clișeu comun
clișeu platitudine
comun banalitate
comun clișeu
comun platitudine
platitudine banalitate
platitudine clișeu
platitudine comun
geantă mapă
geantă servietă
mapă geantă
mapă servietă
servietă geantă
servietă mapă
sacrament taină
taină sacrament
șervet ștergar
șervet prosop
ștergar șervet
ștergar prosop
prosop șervet
prosop ștergar
botgros cireșar
cireșar botgros
stâncă stană
stană stâncă
armonică muzicuță
muzicuță armonică
troleibuz troleu
troleu troleibuz
foarfecă foarfece
foarfece foarfecă
clică coterie
clică gașcă
coterie clică
coterie gașcă
gașcă clică
gașcă coterie
corn croasant
croasant corn
cimilitură ghicitoare
ghicitoare cimilitură
blendă diafragmă
diafragmă blendă
megafon portavoce
portavoce megafon
bărbie barbă
barbă bărbie
cat etaj
cat nivel
etaj cat
etaj nivel
nivel cat
nivel etaj
radio radioreceptor
radioreceptor radio
cartilaj zgârci
zgârci cartilaj
sabie spadă
spadă sabie
bac feribot
feribot bac
samur zibelină
zibelină samur
convoi marș
convoi procesiune
marș convoi
marș procesiune
procesiune convoi
procesiune marș
caiac canoe
canoe caiac
incompatibilitate nepotrivire
nepotrivire incompatibilitate
bourel culbec
bourel melc
culbec bourel
culbec melc
melc bourel
melc culbec
vorbă zvon
zvon vorbă
havană trabuc
trabuc havană
șarm atracție
șarm farmec
atracție șarm
atracție farmec
farmec șarm
farmec atracție
stație stațiune
stațiune stație
nume poreclă
nume supranume
poreclă nume
poreclă supranume
supranume nume
supranume poreclă
secret taină
taină secret
baie cadă
baie vană
cadă baie
cadă vană
vană baie
vană cadă
bătrân vârstnic
vârstnic bătrân
roză trandafir
trandafir roză
floarea-soarelui sora-soarelui
sora-soarelui floarea-soarelui
chelner ospătar
ospătar chelner
secretară secretar
secretar secretară
barcagiu lopătar
barcagiu luntraș
barcagiu vâslaș
lopătar barcagiu
lopătar luntraș
lopătar vâslaș
luntraș barcagiu
luntraș lopătar
luntraș vâslaș
vâslaș barcagiu
vâslaș lopătar
vâslaș luntraș
ftizie tebece
ftizie tuberculoză
tebece ftizie
tebece tuberculoză
tuberculoză ftizie
tuberculoză tebece
invitat musafir
invitat oaspete
musafir invitat
musafir oaspete
oaspete invitat
oaspete musafir
bolid meteor
meteor bolid
inorog licorn
licorn inorog
buric ombilic
ombilic buric
lăutar scripcar
lăutar violonist
lăutar viorist
scripcar lăutar
scripcar violonist
scripcar viorist
violonist lăutar
violonist scripcar
violonist viorist
viorist lăutar
viorist scripcar
viorist violonist
lipsă mizerie
lipsă nevoie
lipsă sărăcie
mizerie lipsă
mizerie nevoie
mizerie sărăcie
nevoie lipsă
nevoie mizerie
nevoie sărăcie
sărăcie lipsă
sărăcie mizerie
sărăcie nevoie
dentist stomatolog
stomatolog dentist
gripă influență
influență gripă
demonstrant manifestant
manifestant demonstrant
curier poștaș
poștaș curier
eretic schismatic
schismatic eretic
lujer tulpină
tulpină lujer
anotimp sezon
sezon anotimp
grandomanie megalomanie
megalomanie grandomanie
văr verișor
verișor văr
țesătoare țesător
țesător țesătoare
fabricant industriaș
industriaș fabricant
ginere mire
mire ginere
gravitație gravitate
gravitate gravitație
bunică mamă-mare
bunică mamaie
mamă-mare bunică
mamă-mare mamaie
mamaie bunică
mamaie mamă-mare
gută podagră
podagră gută
j joule
j wattsecundă
joule j
joule wattsecundă
wattsecundă j
wattsecundă joule
năprasnică priboi
priboi năprasnică
actualitate contemporaneitate
actualitate prezent
contemporaneitate actualitate
contemporaneitate prezent
prezent actualitate
prezent contemporaneitate
expeditor trimițător
trimițător expeditor
manechin model
model manechin
călugăr monah
monah călugăr
calcar piatră-de-var
piatră-de-var calcar
crainic curier
crainic mesager
crainic sol
crainic vestitor
curier crainic
curier mesager
curier sol
curier vestitor
mesager crainic
mesager curier
mesager sol
mesager vestitor
sol crainic
sol curier
sol mesager
sol vestitor
vestitor crainic
vestitor curier
vestitor mesager
vestitor sol
casnică gospodină
gospodină casnică
lavandă levănțică
levănțică lavandă
călugăriță maică
călugăriță monahă
călugăriță monahie
maică călugăriță
maică monahă
maică monahie
monahă călugăriță
monahă maică
monahă monahie
monahie călugăriță
monahie maică
monahie monahă
lemn-dulce plutitoare-dulce
plutitoare-dulce lemn-dulce
protest protestație
protestație protest
amiază prânz
prânz amiază
v volt
volt v
erou protagonist
protagonist erou
fățarnic fals
fățarnic ipocrit
fățarnic prefăcut
fals fățarnic
fals ipocrit
fals prefăcut
ipocrit fățarnic
ipocrit fals
ipocrit prefăcut
prefăcut fățarnic
prefăcut fals
prefăcut ipocrit
combatant militant
militant combatant
călău gâde
gâde călău
coridor culoar
coridor gang
culoar coridor
culoar gang
gang coridor
gang culoar
vifor viforniță
vifor viscol
vifor viscoleală
viforniță vifor
viforniță viscol
viforniță viscoleală
viscol vifor
viscol viforniță
viscol viscoleală
viscoleală vifor
viscoleală viforniță
viscoleală viscol
istoric istoriograf
istoriograf istoric
w watt
watt w
mătușă tanti
tanti mătușă
pălămar paracliser
paracliser pălămar
ninsoare zăpadă
zăpadă ninsoare
pietriș prund
pietriș prundiș
prund pietriș
prund prundiș
prundiș pietriș
prundiș prund
țigan rom
rom țigan
agresor atacant
atacant agresor
impaludism malarie
impaludism paludism
malarie impaludism
malarie paludism
paludism impaludism
paludism malarie
grindină piatră
piatră grindină
polarizație polarizare
polarizare polarizație
dafin laur
laur dafin
contuzie vânătaie
vânătaie contuzie
domn gentleman
gentleman domn
șiret șmecher
șiret viclean
șmecher șiret
șmecher viclean
viclean șiret
viclean șmecher
bărbat gospodar
bărbat soț
gospodar bărbat
gospodar soț
soț bărbat
soț gospodar
hidrargir mercur
mercur hidrargir
chiciură promoroacă
promoroacă chiciură
intermediar mediator
intermediar mijlocitor
mediator intermediar
mediator mijlocitor
mijlocitor intermediar
mijlocitor mediator
g gram
gram g
cucuruz păpușoi
cucuruz porumb
păpușoi cucuruz
păpușoi porumb
porumb cucuruz
porumb păpușoi
șoc ictus
ictus șoc
monarhist regalist
regalist monarhist
mahomedan musulman
musulman mahomedan
pojar rujeolă
rujeolă pojar
amfibian batracian
batracian amfibian
căldare găleată
găleată căldare
ceas oră
oră ceas
unificare unire
unire unificare
box pugilat
box pugilism
box pugilistică
pugilat box
pugilat pugilism
pugilat pugilistică
pugilism box
pugilism pugilat
pugilism pugilistică
pugilistică box
pugilistică pugilat
pugilistică pugilism
pricolici vârcolac
vârcolac pricolici
brăzdătură brazdă
brazdă brăzdătură
sacrificare tăiere
tăiere sacrificare
bumb nasture
nasture bumb
aversă răpăială
aversă ropot
răpăială aversă
răpăială ropot
ropot aversă
ropot răpăială
butoi butoiaș
butoiaș butoi
răzătoare răzuitoare
răzuitoare răzătoare
dăruire dare
dare dăruire
boltă cer
boltă firmament
cer boltă
cer firmament
firmament boltă
firmament cer
albăstrea albăstriță
albăstrea ghioc
albăstriță albăstrea
albăstriță ghioc
ghioc albăstrea
ghioc albăstriță
contor numărător
numărător contor
nacru sidef
sidef nacru
centaur hipocentaur
hipocentaur centaur
juvete valet
valet juvete
ascensor lift
lift ascensor
alinare consolare
alinare mângâiere
consolare alinare
consolare mângâiere
mângâiere alinare
mângâiere consolare
exemplificare ilustrare
ilustrare exemplificare
bijuterie giuvaer
giuvaer bijuterie
arici echinidă
echinidă arici
raniță rucsac
rucsac raniță
cânta intona
intona cânta
căpșun frag
frag căpșun
cristos hristos
cristos iisus
cristos mântuitorul
hristos cristos
hristos iisus
hristos mântuitorul
iisus cristos
iisus hristos
iisus mântuitorul
mântuitorul cristos
mântuitorul hristos
mântuitorul iisus
matcă regină
regină matcă
as birlic
birlic as
înotătoare aripioară
aripioară înotătoare
mască obrăzar
obrăzar mască
asanare drenaj
asanare drenare
drenaj asanare
drenaj drenare
drenare asanare
drenare drenaj
brățară brățea
brățea brățară
doamnă-mare doamna-codrului
doamnă-mare mătrăgună
doamna-codrului doamnă-mare
doamna-codrului mătrăgună
mătrăgună doamnă-mare
mătrăgună doamna-codrului
prâsnel sfârlează
prâsnel titirez
sfârlează prâsnel
sfârlează titirez
titirez prâsnel
titirez sfârlează
tură turn
turn tură
limitare restricție
restricție limitare
tabel tablă
tabel tablou
tablă tabel
tablă tablou
tablou tabel
tablou tablă
bască basc
bască beretă
basc bască
basc beretă
beretă bască
beretă basc
coit copulație
copulație coit
mătură mei-tătăresc
mei-tătăresc mătură
matcă regină
regină matcă
prințesă principesă
principesă prințesă
gloabă mârțoagă
mârțoagă gloabă
dârlog frâu
dârlog hăț
frâu dârlog
frâu hăț
hăț dârlog
hăț frâu
foame nemâncare
nemâncare foame
cărăbuș găinușă
găinușă cărăbuș
emigrație emigrare
emigrație expatriere
emigrare emigrație
emigrare expatriere
expatriere emigrație
expatriere emigrare
voie voință
voie vrere
voință voie
voință vrere
vrere voie
vrere voință
ceucă stăncuță
ceucă stancă
stăncuță ceucă
stăncuță stancă
stancă ceucă
stancă stăncuță
crez cult
cult crez
șlep barjă
șlep pletină
barjă șlep
barjă pletină
pletină șlep
pletină barjă
brac prepelicar
prepelicar brac
bagdadie plafon
bagdadie tavan
plafon bagdadie
plafon tavan
tavan bagdadie
tavan plafon
colecție culegere
culegere colecție
cămin coș
cămin horn
coș cămin
coș horn
horn cămin
horn coș
ilău nicovală
nicovală ilău
canabis marijuana
marijuana canabis
purcea scroafă
scroafă purcea
ciondăneală ciorovăială
ciondăneală ciorovăire
ciorovăială ciondăneală
ciorovăială ciorovăire
ciorovăire ciondăneală
ciorovăire ciorovăială
erodare eroziune
eroziune erodare
kaliu potasiu
potasiu kaliu
dada dadaism
dadaism dada
pucioasă sulf
sulf pucioasă
olog schilod
schilod olog
țiteră citeră
citeră țiteră
fractură ruptură
ruptură fractură
convulsie spasm
spasm convulsie
minarea minaret
minaret minarea
inconștiență iresponsabilitate
iresponsabilitate inconștiență
reumă reumatism
reumatism reumă
pepene zemos
zemos pepene
coccis noadă
noadă coccis
intern internist
internist intern
vodcă votcă
votcă vodcă
doctor doctorat
doctorat doctor
bojoc plămân
bojoc pulmon
plămân bojoc
plămân pulmon
pulmon bojoc
pulmon plămân
iscoadă spion
spion iscoadă
as geniu
as virtuoz
geniu as
geniu virtuoz
virtuoz as
virtuoz geniu
franzelă jimblă
jimblă franzelă
încrețitură creț
încrețitură cută
încrețitură dungă
încrețitură rid
încrețitură zbârcitură
creț încrețitură
creț cută
creț dungă
creț rid
creț zbârcitură
cută încrețitură
cută creț
cută dungă
cută rid
cută zbârcitură
dungă încrețitură
dungă creț
dungă cută
dungă rid
dungă zbârcitură
rid încrețitură
rid creț
rid cută
rid dungă
rid zbârcitură
zbârcitură încrețitură
zbârcitură creț
zbârcitură cută
zbârcitură dungă
zbârcitură rid
repertoar repertor
repertoar repertoriu
repertor repertoar
repertor repertoriu
repertoriu repertoar
repertoriu repertor
viță vie
vie viță
rană tăietură
tăietură rană
cafeină cofeină
cofeină cafeină
cufureală diaree
diaree cufureală
copilaș pui
pui copilaș
noctambul somnambul
somnambul noctambul
anorexie inapetență
inapetență anorexie
amfitrion gazdă
gazdă amfitrion
formulă parolă
parolă formulă
inițiator pionier
inițiator promotor
pionier inițiator
pionier promotor
promotor inițiator
promotor pionier
personaj personalitate
personalitate personaj
boia paprică
paprică boia
cositor staniu
staniu cositor
cârnaț cârnat
cârnat cârnaț
bendicțiune binecuvântare
bendicțiune blagoslovire
binecuvântare bendicțiune
binecuvântare blagoslovire
blagoslovire bendicțiune
blagoslovire binecuvântare
tortă tort
tort tortă
pătlăgea vânătă
vânătă pătlăgea
liliac mălin
mălin liliac
beregată laringe
laringe beregată
cuarț cvarț
cvarț cuarț
sprijinitor susținător
susținător sprijinitor
natriu sodiu
sodiu natriu
singuratic solitar
solitar singuratic
cimpoieș cimpoier
cimpoier cimpoieș
genunche genunchi
genunchi genunche
abate arhimandrit
arhimandrit abate
elipsă oval
oval elipsă
far magistru
magistru far
țăcănit țicnit
țăcănit smintit
țicnit țăcănit
țicnit smintit
smintit țăcănit
smintit țicnit
delicatețe tact
tact delicatețe
opiu opium
opium opiu
ciocănaș ciocănel
ciocănel ciocănaș
gătire gătit
gătit gătire
predilecție preferință
preferință predilecție
contrar opus
opus contrar
procent procentaj
procent sutime
procentaj procent
procentaj sutime
sutime procent
sutime procentaj
apă fântână
apă puț
fântână apă
fântână puț
puț apă
puț fântână
împunsătură înțepătură
împunsătură săgeată
înțepătură împunsătură
înțepătură săgeată
săgeată împunsătură
săgeată înțepătură
homosexual invertit
homosexual pederast
invertit homosexual
invertit pederast
pederast homosexual
pederast invertit
culegere zețuire
culegere zețuit
zețuire culegere
zețuire zețuit
zețuit culegere
zețuit zețuire
nervură vână
vână nervură
parodie parodiere
parodiere parodie
foaie fustă
fustă foaie
ochi văz
ochi vedere
văz ochi
văz vedere
vedere ochi
vedere văz
deghizare impostură
deghizare travestire
impostură deghizare
impostură travestire
travestire deghizare
travestire impostură
bandă grup
bandă trupă
grup bandă
grup trupă
trupă bandă
trupă grup
departament minister
minister departament
fundal umbră
umbră fundal
șfichi șfichiuitură
șfichi bici
șfichiuitură șfichi
șfichiuitură bici
bici șfichi
bici șfichiuitură
cârpeală petic
petic cârpeală
conector racord
racord conector
schelă suport
suport schelă
groapă mormânt
mormânt groapă
bază infrastructură
infrastructură bază
șoaptă șușoteală
șoaptă șușotit
șușoteală șoaptă
șușoteală șușotit
șușotit șoaptă
șușotit șușoteală
miez pulpă
pulpă miez
grăsime unsoare
unsoare grăsime
aramă cupru
cupru aramă
exagerare forțare
forțare exagerare
șut bombă
bombă șut
definitivare finisaj
definitivare finisare
finisaj definitivare
finisaj finisare
finisare definitivare
finisare finisaj
cadru ramă
ramă cadru
îngâmfare mândrie
îngâmfare orgoliu
îngâmfare semeție
mândrie îngâmfare
mândrie orgoliu
mândrie semeție
orgoliu îngâmfare
orgoliu mândrie
orgoliu semeție
semeție îngâmfare
